test,n,expected,actual,cycles,passed
"1x1 scalar",1,7,7,3,PASS
"2x2 fast path",2,-2,-2,6,PASS
"2x2 negative",2,-2,-2,6,PASS
"3x3 normal",3,1,1,358,PASS
"3x3 singular",3,0,0,363,PASS
"3x3 pivot swap",3,17,17,363,PASS
"4x4 identity",4,1,1,977,PASS
"4x4 triangular",4,-48,-48,977,PASS
"random 1x1 #0",1,-1,-1,3,PASS
"random 1x1 #1",1,-4,-4,3,PASS
"random 1x1 #2",1,2,2,3,PASS
"random 1x1 #3",1,-5,-5,3,PASS
"random 1x1 #4",1,3,3,3,PASS
"random 1x1 #5",1,-4,-4,3,PASS
"random 1x1 #6",1,1,1,3,PASS
"random 1x1 #7",1,-1,-1,3,PASS
"random 1x1 #8",1,-2,-2,3,PASS
"random 1x1 #9",1,-3,-3,3,PASS
"random 1x1 #10",1,5,5,3,PASS
"random 1x1 #11",1,-3,-3,3,PASS
"random 1x1 #12",1,-4,-4,3,PASS
"random 1x1 #13",1,-4,-4,3,PASS
"random 1x1 #14",1,0,0,3,PASS
"random 1x1 #15",1,-4,-4,3,PASS
"random 1x1 #16",1,4,4,3,PASS
"random 1x1 #17",1,3,3,3,PASS
"random 1x1 #18",1,-2,-2,3,PASS
"random 1x1 #19",1,5,5,3,PASS
"random 1x1 #20",1,-5,-5,3,PASS
"random 1x1 #21",1,-2,-2,3,PASS
"random 1x1 #22",1,-5,-5,3,PASS
"random 1x1 #23",1,-5,-5,3,PASS
"random 1x1 #24",1,-5,-5,3,PASS
"random 2x2 #0",2,2,2,6,PASS
"random 2x2 #1",2,15,15,6,PASS
"random 2x2 #2",2,-21,-21,6,PASS
"random 2x2 #3",2,12,12,6,PASS
"random 2x2 #4",2,4,4,6,PASS
"random 2x2 #5",2,8,8,6,PASS
"random 2x2 #6",2,-15,-15,6,PASS
"random 2x2 #7",2,0,0,6,PASS
"random 2x2 #8",2,-9,-9,6,PASS
"random 2x2 #9",2,-20,-20,6,PASS
"random 2x2 #10",2,20,20,6,PASS
"random 2x2 #11",2,24,24,6,PASS
"random 2x2 #12",2,-15,-15,6,PASS
"random 2x2 #13",2,-28,-28,6,PASS
"random 2x2 #14",2,15,15,6,PASS
"random 2x2 #15",2,10,10,6,PASS
"random 2x2 #16",2,2,2,6,PASS
"random 2x2 #17",2,-9,-9,6,PASS
"random 2x2 #18",2,13,13,6,PASS
"random 2x2 #19",2,1,1,6,PASS
"random 2x2 #20",2,-4,-4,6,PASS
"random 2x2 #21",2,-11,-11,6,PASS
"random 2x2 #22",2,-20,-20,6,PASS
"random 2x2 #23",2,-1,-1,6,PASS
"random 2x2 #24",2,-10,-10,6,PASS
"random 3x3 #0",3,-3,-3,368,PASS
"random 3x3 #1",3,16,16,358,PASS
"random 3x3 #2",3,44,44,358,PASS
"random 3x3 #3",3,-55,-55,358,PASS
"random 3x3 #4",3,311,311,358,PASS
"random 3x3 #5",3,95,95,363,PASS
"random 3x3 #6",3,40,40,358,PASS
"random 3x3 #7",3,-24,-24,358,PASS
"random 3x3 #8",3,-57,-57,363,PASS
"random 3x3 #9",3,54,54,358,PASS
"random 3x3 #10",3,-1,-1,364,PASS
"random 3x3 #11",3,100,100,358,PASS
"random 3x3 #12",3,10,10,363,PASS
"random 3x3 #13",3,88,88,358,PASS
"random 3x3 #14",3,-65,-65,358,PASS
"random 3x3 #15",3,-50,-50,358,PASS
"random 3x3 #16",3,212,212,358,PASS
"random 3x3 #17",3,25,25,358,PASS
"random 3x3 #18",3,-12,-12,358,PASS
"random 3x3 #19",3,121,121,358,PASS
"random 3x3 #20",3,13,13,363,PASS
"random 3x3 #21",3,34,34,358,PASS
"random 3x3 #22",3,26,26,358,PASS
"random 3x3 #23",3,-21,-21,358,PASS
"random 3x3 #24",3,77,77,358,PASS
"random 4x4 #0",4,-8,-8,977,PASS
"random 4x4 #1",4,1080,1080,977,PASS
"random 4x4 #2",4,-249,-249,983,PASS
"random 4x4 #3",4,-124,-124,983,PASS
"random 4x4 #4",4,-116,-116,977,PASS
"random 4x4 #5",4,72,72,977,PASS
"random 4x4 #6",4,-278,-278,977,PASS
"random 4x4 #7",4,-825,-825,977,PASS
"random 4x4 #8",4,-165,-165,977,PASS
"random 4x4 #9",4,716,716,983,PASS
"random 4x4 #10",4,600,600,977,PASS
"random 4x4 #11",4,31,31,977,PASS
"random 4x4 #12",4,240,240,977,PASS
"random 4x4 #13",4,-184,-184,977,PASS
"random 4x4 #14",4,-209,-209,977,PASS
"random 4x4 #15",4,-364,-364,977,PASS
"random 4x4 #16",4,-780,-780,983,PASS
"random 4x4 #17",4,320,320,977,PASS
"random 4x4 #18",4,-70,-70,977,PASS
"random 4x4 #19",4,1241,1241,977,PASS
"random 4x4 #20",4,144,144,977,PASS
"random 4x4 #21",4,-335,-335,983,PASS
"random 4x4 #22",4,154,154,977,PASS
"random 4x4 #23",4,-1216,-1216,977,PASS
"random 4x4 #24",4,15,15,977,PASS
